"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-291320","Source2",2,"2016-10-16 16:07:19","2016-10-16 17:07:19","31.470732","-97.164635",NULL,NULL,"0.01","Accident on I-35 Southbound at Exits 330A 330B 331 Interstate 35.","I-35 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2016-10-16 15:55:00","91.4",NULL,"43.0","22.9","10.0","South","16.1",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-291663","Source2",3,"2016-10-18 09:10:27","2016-10-18 10:09:55","31.55353400000001","-97.121223",NULL,NULL,"0.01","Accident on I-35 Northbound near Exits 335A 335C Interstate 35.","US-77 N","Waco","McLennan","TX","76706","US","US/Central","KCNW","2016-10-18 08:50:00","78.8",NULL,"78.0","29.88","10.0","South","12.7",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-293677","Source2",2,"2016-08-09 17:36:50","2016-08-09 18:06:50","31.5422","-97.12718199999999",NULL,NULL,"0.0","Accident on 12th St both ways at Interstate 35.","Interstate 35 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2016-08-09 16:55:00","100.4",NULL,"31.0","29.85","10.0","South","6.9",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-293916","Source2",3,"2016-08-10 16:37:52","2016-08-10 17:22:52","31.536054999999998","-97.12960799999999",NULL,NULL,"0.0","Two lanes blocked due to accident on I-35 Southbound at Exit 334 US-77.","I-35 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2016-08-10 14:50:00","100.4",NULL,"29.0","29.93","10.0","South","5.8",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-294539","Source2",2,"2016-08-13 14:20:57","2016-08-13 15:00:00","31.597573999999998","-97.108887",NULL,NULL,"0.0","Accident on I-35 Northbound at TX-340 Loop.","US-77 N","Waco","McLennan","TX","76705","US","US/Central","KCNW","2016-08-13 16:55:00","89.6",NULL,"55.0","29.78","10.0","North","11.5",NULL,"Scattered Clouds",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-294819","Source2",3,"2016-08-15 14:15:14","2016-08-15 15:15:14","31.638708","-97.097107",NULL,NULL,"0.0","#1 lane blocked due to accident on Interstate 35 Southbound at FM-2417 Crest Dr.","E Crest Dr","Waco","Mclennan","TX","76705-1163","US","US/Central","KCNW","2016-08-15 13:55:00","73.4",NULL,"94.0","30.05","5.0","NNE","6.9",NULL,"Rain",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-295527","Source2",3,"2016-08-18 12:13:50","2016-08-18 12:58:50","31.584642","-97.109932",NULL,NULL,"0.0","Two lanes blocked and slow traffic due to accident on I-35 Northbound at Exits 337A 338A Interstate 35.","E Waco Dr","Waco","McLennan","TX","76705","US","US/Central","KCNW","2016-08-18 12:55:00","82.4",NULL,"79.0","30.08","10.0","SSW","8.1",NULL,"Overcast",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-295668","Source2",3,"2016-08-19 05:22:28","2016-08-19 05:52:28","31.584642","-97.109932",NULL,NULL,"0.0","Two lanes blocked due to accident on I-35 Northbound at Exits 337A 338A Interstate 35.","E Waco Dr","Waco","McLennan","TX","76705","US","US/Central","KCNW","2016-08-19 06:52:00","75.2",NULL,"100.0","29.98","5.0","SE","3.5",NULL,"Overcast",False,False,False,False,False,False,False,False,False,False,False,False,False,"Night","Night","Night","Night"
"A-295935","Source2",2,"2016-08-20 15:17:59","2016-08-20 16:32:59","31.587727","-97.109749",NULL,NULL,"0.0","Accident on I-35 Southbound at Exits 337A 338A Interstate 35.","US-77 S","Waco","McLennan","TX","76705","US","US/Central","KCNW",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-296075","Source2",2,"2016-08-22 10:07:09","2016-08-22 10:37:09","31.550119","-97.123184",NULL,NULL,"0.0","Accident on 4th St both ways at Interstate 35.","S 5th St","Waco","McLennan","TX","76706","US","US/Central","KCNW","2016-08-22 10:50:00","80.6",NULL,"79.0","30.12","7.0","SSE","4.6",NULL,"Overcast",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-434115","Source2",2,"2017-04-28 15:20:33","2017-04-28 15:50:33","31.552066999999997","-97.08609",NULL,NULL,"0.01","Accident on TX-484 Loop Eastbound at Marlin Hwy.","State Highway Loop 484 E","Waco","McLennan","TX","76705","US","US/Central","KCNW","2017-04-28 14:55:00","87.8",NULL,"52.0","29.59","7.0","ESE","13.8",NULL,"Haze",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-451583","Source2",3,"2017-05-15 09:31:06","2017-05-15 10:46:06","31.640186","-97.096237",NULL,NULL,"0.009999999776482582","Accident on I-35 Southbound near Exit 342B.","US-77 N","Waco","McLennan","TX","76705","US","US/Central","KCNW","2017-05-15 09:50:00","75.2",NULL,"61.0","29.97","10.0","South","11.5",NULL,"Scattered Clouds",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-451690","Source2",3,"2017-05-15 16:42:52","2017-05-15 17:27:28","31.550119","-97.123184",NULL,NULL,"0.009999999776482582","Accident on I-35 Southbound at 5th St.","S 5th St","Waco","McLennan","TX","76706","US","US/Central","KCNW","2017-05-15 16:55:00","87.8",NULL,"43.0","29.86","10.0","South","13.8",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
